DisplayName;ServiceName;StartType;ServiceType;Description
Intel(R) Dynamic Application Loader Host Interface Service;jhi_service;Manual;Win32OwnProcess;"Intel(R) Dynamic Application Loader Host Interface Service - Allows applications to access the local Intel (R) DAL"
Intel(R) Dynamic Platform and Thermal Framework service;esifsvc;Manual;Win32OwnProcess;"Intel(R) Dynamic Platform and Thermal Framework service"
Intel(R) HD Graphics Control Panel Service;igfxCUIService2.0.0.0;Manual;Win32OwnProcess;"Service for Intel(R) HD Graphics Control Panel"
Intel(R) Management and Security Application Local Management Service;LMS;Manual;Win32OwnProcess;"Intel(R) Management and Security Application Local Management Service - Provides OS-related Intel(R) ME functionality."
Intel(R) Optane(TM) Memory Service;iaStorAfsService;Manual;Win32OwnProcess;"Enables amazing system performance and responsiveness by accelerating frequently used files"
Intel(R) Rapid Storage Technology;IAStorDataMgrSvc;Manual;Win32OwnProcess;"Provides storage event notification and manages communication between the storage driver and user space applications."
Intel(R) RST HFC Disable Service;HfcDisableService;Manual;Win32OwnProcess;"Turns off hiberfile caching in Intel(R) RST driver."
Intel(R) Storage Middleware Service;RstMwService;Manual;Win32OwnProcess;"RPC endpoint service which allows communication between driver and Windows Store Application"
Intel(R) TPM Provisioning Service;Intel(R) TPM Provisioning Service;Manual;Win32OwnProcess;"Version: 1.56.87.0"
Interceptação SNMP;SNMPTRAP;Disabled;Win32OwnProcess;"Recebe mensagens de interceptação geradas por agentes Simple Network Management Protocol (SNMP) locais ou remotos e encaminha as mensagens aos programas de gerenciamento SNMP em execução no computador. Se este serviço for parado, os programas baseados em SNMP presentes no computador não receberão mensagens de interceptação SNMP. Se este serviço for desabilitado, os serviços que dependerem dele explicitamente não serão iniciados."
Interface de Serviço de Convidado do Hyper-V;vmicguestinterface;Disabled;Win32ShareProcess;"Apresenta uma interface para o host Hyper-V interagir com os serviços específicos executados na máquina virtual."
Isolamento de Chave CNG;KeyIso;Manual;Win32ShareProcess;"O serviço de isolamento de chave CNG é hospedado pelo processo LSA e isola o processamento de chaves privadas e operações criptográficas associadas, conforme exigido pelos Critérios Comuns. O serviço armazena e usa chaves de longa duração em um processo seguro segundo os Critérios Comuns."
KtmRm para Coordenador de Transações Distribuídas;KtmRm;Manual;Win32ShareProcess;"Coordena transações entre o MSDTC (Coordenador de Transações Distribuídas) e o KTM (Gerenciador de Transações do Kernel). Se não for necessário, recomendamos que esse serviço permaneça desativado. Se for necessário, o MSDTC e o KTM iniciarão esse serviço automaticamente. Se esse serviço for desabilitado, qualquer transação do MSDTC que interaja com um Gerenciador de Recursos do Kernel falhará e todos os serviços que dependerem explicitamente dele não serão inicializados."
Ligar/Desligar;Power;Automatic;Win32ShareProcess;"Gerencia a política de energia e a entrega de notificação de política de energia."
Log de Eventos do Windows;EventLog;Automatic;Win32OwnProcess, Win32ShareProcess;"Esse serviço gerencia eventos e logs de eventos. Oferece suporte ao log de eventos, à consulta de eventos, a assinaturas de eventos, ao arquivamento de logs de eventos e ao gerenciamento de metadados de eventos. Ele pode exibir eventos em XML e em formato de texto não criptografado. Interromper esse serviço pode comprometer a segurança e confiabilidade do sistema."
Logon de rede;Netlogon;Manual;Win32ShareProcess;"Mantém um canal seguro entre este computador e o controlador de domínio para autenticar usuários e serviços. Se este serviço for interrompido, o computador talvez não possa autenticar usuários e serviços e o controlador de domínio talvez não possa registrar registros DNS. Se o serviço for desabilitado, os serviços que dependerem dele explicitamente não serão iniciados."
Logon secundário;seclogon;Manual;Win32ShareProcess;"Ativa a inicialização de processos sob credenciais alternativas. Se o serviço for interrompido, esse tipo de acesso por logon não estará disponível. Se o serviço for desativado, quaisquer serviços que dele dependam diretamente não serão inicializados."
Logs e alertas de desempenho;pla;Manual;Win32ShareProcess;"Os Logs e Alertas de Desempenho coletam dados de desempenho de computadores locais ou remotos baseados nos parâmetros da agenda pré-configurada. Em seguida, gravam os dados em um log ou disparam um alerta. Se este serviço for interrompido, as informações de desempenho não serão coletadas. Se for desabilitado, todos os serviços que dependem explicitamente dele não conseguirão iniciar."
Mapeador da Descoberta de Topologia da Camada de Link;lltdsvc;Manual;Win32ShareProcess;"Cria um Mapa de Rede, que consiste em informações sobre o computador e a topologia do dispositivo (conectividade), e metadados que descrevem cada computador e dispositivo. Se esse serviço for desabilitado, o Mapa de Rede não funcionará apropriadamente."
Mapeador de Ponto de Extremidade RPC;RpcEptMapper;Automatic;Win32ShareProcess;"Resolve identificadores de interfaces RPC para transportar pontos de extremidade. Se este serviço estiver parado ou desativado, os programas que estiverem usando os serviços da Chamada de Procedimento Remoto (RPC) não funcionarão corretamente."
Mecanismo de Filtragem Básica;BFE;Automatic;Win32ShareProcess;"O Mecanismo de Filtragem Básica (BFE) é um serviço que administra políticas de Segurança de IP e de firewall (IPsec) e implementa a filtragem do modo de usuário. Interromper ou desabilitar o serviço BFE reduz a segurança do sistema significativamente. Isso também resulta em um comportamento imprevisível na administração de IPsec e aplicações de firewall."
MessagingService_1c1eca42;MessagingService_1c1eca42;Manual;224;"Serviço de suporte a mensagens de texto e funcionalidade relacionada."
Microsoft App-V Client;AppVClient;Manual;Win32OwnProcess;"Manages App-V users and virtual applications"
Microsoft Edge Elevation Service;MicrosoftEdgeElevationService;Manual;Win32OwnProcess;"Keeps Microsoft Edge up to update. If this service is disabled, the application will not be kept up to date."
Microsoft Edge Update Service (edgeupdate);edgeupdate;Manual;Win32OwnProcess;"Mantém o software do Microsoft atualizado. Se esse serviço for desabilitado ou interrompido, o software do Microsoft não será mantido atualizado, o que significa que as vulnerabilidades de segurança que podem surgir não poderão ser corrigidas e os recursos podem não funcionar. Esse serviço é desinstalado automaticamente quando não há software do Microsoft usando-o."
Microsoft Edge Update Service (edgeupdatem);edgeupdatem;Manual;Win32OwnProcess;"Mantém o software do Microsoft atualizado. Se esse serviço for desabilitado ou interrompido, o software do Microsoft não será mantido atualizado, o que significa que as vulnerabilidades de segurança que podem surgir não poderão ser corrigidas e os recursos podem não funcionar. Esse serviço é desinstalado automaticamente quando não há software do Microsoft usando-o."
Microsoft Office Click-to-Run Service;ClickToRunSvc;Manual;Win32OwnProcess;"‪Manages resource coordination, background streaming, and system integration of Microsoft Office products and their related updates. This service is required to run during the use of any Microsoft Office program, during initial streaming installation and all subsequent updates.‬"
Microsoft Passport;NgcSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece o isolamento de processos para chaves de criptografia usadas para autenticar provedores de identidade associados de usuários. Se esse serviço for desabilitado, nenhum tipo de uso e de gerenciamento dessas chaves estará disponível, o que inclui logon em computadores e sign-on único em aplicativos e sites. Esse serviço é iniciado e interrompido automaticamente. Recomendamos não reconfigurar esse serviço."
Modo inserido;embeddedmode;Manual;Win32ShareProcess;"O serviço Modo Incorporado permite cenários relacionados a Aplicativos em Segundo Plano. Desabilitar esse serviço impedirá que Aplicativos em Segundo Plano sejam ativados."
Mozilla Maintenance Service;MozillaMaintenance;Manual;Win32OwnProcess;"The Mozilla Maintenance Service ensures that you have the latest and most secure version of Mozilla Firefox on your computer. Keeping Firefox up to date is very important for your online security, and Mozilla strongly recommends that you keep this service enabled."
MySQL57;MySQL57;Manual;Win32OwnProcess;""
Módulos de Criação de Chaves IKE e AuthIP do IPSec;IKEEXT;Manual;Win32ShareProcess;"O serviço IKEEXT hospeda os módulos de criação de chaves IKE e AuthIP. Esses módulos são usados para autenticação e troca de chaves no protocolo IPSec. Ao interromper ou desabilitar o serviço IKEEXT, a troca de chaves IKE e AuthIP será desabilitada nos computadores pares. O protocolo IPSec geralmente é configurado para usar IKE ou AuthIP e, portanto, a interrupção ou desabilitação do serviço IKEEXT poderá resultar em falha no IPSec e comprometer a segurança do sistema. É altamente recomendável manter o serviço IKEEXT em execução."
NVIDIA Display Container LS;NVDisplay.ContainerLocalSystem;Automatic;Win32OwnProcess;"Container service for NVIDIA root features"
NVIDIA LocalSystem Container;NvContainerLocalSystem;Automatic;Win32OwnProcess;"Container service for NVIDIA root features"
NVIDIA NetworkService Container;NvContainerNetworkService;Manual;Win32OwnProcess;"Container service for NVIDIA network features"
Office  Source Engine;ose;Manual;Win32OwnProcess;"Saves installation files used for updates and repairs and is required for the downloading of Setup updates and Watson error reports."
OpenSSH Authentication Agent;ssh-agent;Manual;Win32OwnProcess;"Agent to hold private keys used for public key authentication."
Otimizador de unidade;defragsvc;Manual;Win32OwnProcess;"Ajuda o computador a ser executado com mais eficiência, otimizando arquivos em unidades de armazenamento."
Otimização de Entrega;DoSvc;Automatic;Win32OwnProcess, Win32ShareProcess;"Executa tarefas de otimização de entrega de conteúdo"
Pastas de Trabalho;workfolderssvc;Manual;Win32ShareProcess;"Esse serviço sincroniza arquivos com o servidor de Pastas de Trabalho, permitindo que você use os arquivos em qualquer um dos PCs e dispositivos em que configurar Pastas de Trabalho."
Plug and Play;PlugPlay;Automatic;Win32OwnProcess, Win32ShareProcess;"Permite que um computador reconheça e se adapte a alterações de hardware com pouca ou nenhuma intervenção do usuário. Se este serviço for parado ou desativado, o sistema se tornará instável."
Política de Remoção de Cartão Inteligente;SCPolicySvc;Disabled;Win32ShareProcess;"Permite configurar o sistema para bloquear a área de trabalho do usuário quando o cartão inteligente for removido."
postgresql-x64-9.3;postgresql-x64-9.3;Manual;Win32OwnProcess;"Provides relational database storage."
Preparação de Aplicativos;AppReadiness;Manual;Win32ShareProcess;"Prepara aplicativos para o uso na primeira vez que um usuário entra no computador e ao adicionar novos aplicativos."
PrintWorkflow_1c1eca42;PrintWorkflowUserSvc_1c1eca42;Manual;224;"Fluxo de Trabalho de Impressão"
Propagação de Certificado;CertPropSvc;Disabled;Win32ShareProcess;"Copia certificados de usuário e certificados raiz de cartões inteligentes para o repositório de certificados do usuário, detecta quando um cartão inteligente é inserido em um leitor de cartão de inteligente e, se necessário, instala o minidriver Plug and Play."
Proteção de Software;sppsvc;Automatic;Win32OwnProcess;"Permite o download, a instalação e a aplicação de licenças digitais do Windows e seus aplicativos. Se o serviço for desabilitado, o sistema operacional e os aplicativos licenciados poderão ser executados no modo de notificação. É altamente recomendável desabilitar o serviço Proteção de Software."
Protocolo de Autenticação Extensível;Eaphost;Manual;Win32ShareProcess;"O serviço EAP (Protocolo de Autenticação Extensível) oferece autenticação de rede em situações como 802.1x com e sem fio, VPN e NAP (Proteção de Acesso a Rede). O EAP também fornece APIs usadas por clientes de acesso à rede, incluindo clientes sem fio e VPN, durante o processo de autenticação. Se você desabilitar esse serviço, este computador será impedido de acessar redes que requeiram autenticação EAP."
Protocolo PNRP;PNRPsvc;Disabled;Win32ShareProcess;"Habilita a resolução de nomes de par sem servidor na Internet usando o protocolo PNRP. Se for desabilitado, alguns aplicativos de colaboração e ponto a ponto, como o Remote Assistance, poderão não funcionar."
Provedor de Cópia de Sombra de Software da Microsoft;swprv;Manual;Win32OwnProcess;"Gerencia cópias de sombra de volume baseadas em software obtidas pelo serviço de cópias de sombra de volume. Se o serviço for interrompido, as cópias de sombra de volume baseadas em software não poderão ser gerenciadas. Se o serviço for desativado, os serviços que dependerem dele explicitamente não serão iniciados."
Publicação de Recursos de Descoberta de Função;FDResPub;Manual;Win32OwnProcess, Win32ShareProcess;"Publica este computador e os recursos associados a ele, de modo que possam ser descobertos na rede. Se este serviço for interrompido, os recursos de rede não serão mais publicados e eles não serão descobertos por outros computadores da rede."
Qualcomm Atheros WLAN Driver Service;QcomWlanSrv;Manual;Win32OwnProcess;""
Quality Windows Audio Video Experience;QWAVE;Manual;Win32ShareProcess;"O Quality Windows Audio Video Experience (qWave) é uma plataforma de rede para aplicativos de streaming de áudio e vídeo (AV) em redes IP domésticas. O qWave melhora o desempenho e a confiabilidade do streaming de AV, garantindo a qualidade do serviço (QoS) dos aplicativos de AV. Ele oferece mecanismos de controle de admissão, monitoramento e imposição em tempo de execução, comentário de aplicativo e priorização de tráfego."
Realtek Audio Universal Service;RtkAudioUniversalService;Automatic;Win32OwnProcess;"Realtek Audio Universal Service"
Reconhecimento de Locais de Rede;NlaSvc;Automatic;Win32OwnProcess, Win32ShareProcess;"Coleta e armazena informações de configuração para a rede e notifica os programas quando as informações são modificadas. Se esse serviço for parado, as informações de configuração poderão se tornar indisponíveis. Se for desabilitado, os serviços que dependerem dele explicitamente não serão iniciados."
Redirecionador de Portas do Modo do Usuário dos Serviços de Área de Trabalho;UmRdpService;Manual;Win32ShareProcess;"Permite o redirecionamento de Impressoras/Unidades/Portas de conexões de RDP"
Registro remoto;RemoteRegistry;Disabled;Win32ShareProcess;"Permite que usuários remotos modifiquem configurações do Registro neste computador. Se este serviço for parado, o Registro só poderá ser modificado por usuários deste computador. Se este serviço for desativado, os serviços que dependerem dele explicitamente não serão iniciados."
Rockstar Game Library Service;Rockstar Service;Manual;Win32OwnProcess;"This service ensures the integrity of your Rockstar game library and is used to install, update and uninstall titles."
Roteamento e Acesso Remoto;RemoteAccess;Manual;Win32ShareProcess;"Oferece serviços de roteamento a empresas em ambientes de rede local e de longa distância."
RPC (Chamada de Procedimento Remoto);RpcSs;Automatic;Win32ShareProcess;"O serviço RPCSS é o Gerenciador de Controle de Serviços para servidores COM e DCOM. Ele executa solicitações de ativações de objetos, resoluções do exportador de objetos e coleta de lixo distribuída para servidores COM e DCOM. Se esse serviço for interrompido ou desabilitado, os programas que utilizam COM ou DCOM não funcionarão corretamente. É altamente recomendado que o serviço RPCSS esteja em execução."
Salvar Jogos no Xbox Live;XblGameSave;Disabled;Win32ShareProcess;"Esse serviço sincroniza dados salvos para a opção salvar jogos habilitados no Xbox Live.  Se o serviço for interrompido, os dados de jogo salvos não serão carregados ou baixados diretamente do Xbox Live."
Server;LanmanServer;Automatic;Win32OwnProcess, Win32ShareProcess;"Oferece suporte a compartilhamento na rede de arquivo, impressão e pipes nomeados para este computador. Se este serviço for interrompido, quaisquer serviços que dele dependam diretamente não serão inicializados."
Servidor de Quadros de Câmera do Windows;FrameServer;Manual;Win32OwnProcess, Win32ShareProcess;"Permite que vários clientes acessem os quadros de vídeo de dispositivos com câmera."
Serviço AssignedAccessManager;AssignedAccessManagerSvc;Manual;Win32ShareProcess;"O Serviço AssignedAccessManager dá suporte à experiência de quiosque no Windows."
Serviço Assistente de Perfil Local;wlpasvc;Manual;Win32ShareProcess;"Este serviço fornece gerenciamento de perfil para módulos de identidade do assinante"
Serviço Auxiliar de Compatibilidade de Programas;PcaSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Este serviço dá suporte ao PCA (Auxiliar de Compatibilidade de Programa).  O PCA monitora programas instalados e executados pelo usuário e detecta problemas de compatibilidade conhecidos. Se esse serviço for interrompido, o PCA não funcionará corretamente."
Serviço AVCTP;BthAvctpSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Este é o serviço Protocolo de Transporte de Controle de Áudio e Vídeo"
Serviço Coletor de Padrões de Hub de Diagnóstico da Microsoft (R);diagnosticshub.standardcollector.service;Manual;Win32OwnProcess;"Serviço Coletor de Padrões de Hub de Diagnóstico. Quando executado, esse serviço coleta eventos ETW em tempo real e os processa."
Serviço Compositor de Áudio Volumétrico;VacSvc;Manual;Win32OwnProcess;"Hospeda análise espacial para simulação de áudio de Realidade Misturada."
Serviço da Lista de Redes;netprofm;Manual;Win32OwnProcess, Win32ShareProcess;"Identifica as redes às quais o computador está conectado, coleta e armazena as propriedades dessas redes e notifica os aplicativos quando as propriedades são alteradas."
Serviço de Aprimoramento de Exibição;DisplayEnhancementService;Manual;Win32OwnProcess, Win32ShareProcess;"Um serviço para gerenciar o aprimoramento da tela, como controle de brilho."
Serviço de Armazenamento;StorSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece serviços de habilitação para configuração de armazenamento e expansão de armazenamento externo"
Serviço de Associação de Dispositivo;DeviceAssociationService;Automatic;Win32OwnProcess, Win32ShareProcess;"Permite o emparelhamento entre o sistema e dispositivos com ou sem fio."
Serviço de Biometria do Windows;WbioSrvc;Disabled;Win32ShareProcess;"O serviço de biometria do Windows permite que os aplicativos cliente capturem, comparem, manipulem e armazenem dados biométricos sem obter acesso direto a nenhum exemplo ou hardware de biometria. Esse serviço é hospedado em um processo SVCHOST privilegiado."
Serviço de Cache de Fontes do Windows;FontCache;Automatic;Win32OwnProcess, Win32ShareProcess;"Otimiza o desempenho de aplicativos, armazenando em cache os dados de fonte usados com frequência. Os aplicativos iniciarão esse serviço caso ele ainda não esteja sendo executado. Ele pode ser desabilitado, embora isso prejudique o desempenho dos aplicativos."
Serviço de Compartilhamento de Dados;DsSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece troca de dados entre aplicativos."
Serviço de Compartilhamento de Porta Net.Tcp;NetTcpPortSharing;Manual;Win32ShareProcess;"Fornece a capacidade de compartilhar portas TCP no protocolo net.tcp."
Serviço de Compartilhamento de Rede do Windows Media Player;WMPNetworkSvc;Manual;Win32OwnProcess;"Compartilha bibliotecas do Windows Media Player com outros players e dispositivos de mídia da rede por meio de Universal Plug and Play"
Serviço de Configuração de Conversão de IP;IpxlatCfgSvc;Manual;Win32ShareProcess;"Configura e habilita a conversão de v4 em v6 e vice-versa"
Serviço de Configuração de Rede;NetSetupSvc;Manual;Win32OwnProcess, Win32ShareProcess;"O Serviço de Configuração de Rede gerencia a instalação dos drivers de rede e permite a configuração de definições de rede de baixo nível. Se o serviço for interrompido, todas as instalações de drivers em andamento podem ser canceladas."
Serviço de Criptografia de Unidade de Disco BitLocker;BDESVC;Manual;Win32OwnProcess, Win32ShareProcess;"O BDESVC hospeda o serviço de Criptografia de Unidade de Disco BitLocker. A Criptografia de Unidade de Disco BitLocker permite uma inicialização segura do sistema operacional e fornece uma criptografia completa para volumes do SO, fixos ou removíveis. Esse serviço permite que o BitLocker solicite a participação dos usuários durante a realização de várias ações relacionadas aos volumes quando são montados, e desbloqueia os volumes automaticamente, sem interação com o usuário. Além disso, ele armazena as informações de recuperação no Active Directory, se disponíveis, e, se necessário, garante que os cerificados de recuperação mais recentes sejam usados. Se o serviço for interrompido ou desabilitado, os usuários não poderão aproveitar essa funcionalidade."
Serviço de Dados de Sensor;SensorDataService;Manual;Win32OwnProcess;"Fornece dados de diversos sensores"
Serviço de Dados Espaciais;SharedRealitySvc;Manual;Win32ShareProcess;"Esse serviço é usado para cenários de Percepção Espacial"
Serviço de Demonstração de Revenda;RetailDemo;Disabled;Win32ShareProcess;"O serviço de Demonstração de Revenda controlará a atividade do dispositivo enquanto ele estiver no modo de demonstração de revenda."
Serviço de Descoberta Automática de Proxy da Web do WinHTTP;WinHttpAutoProxySvc;Manual;Win32OwnProcess, Win32ShareProcess;"O WinHTTP implementa a pilha de HTTP de cliente e fornece aos desenvolvedores uma API do Win32 e um componente de Automação COM para enviar solicitações HTTP e receber respostas. Além disso, o WinHTTP dá suporte à descoberta automática de configuração de proxy via implementação do protocolo WPAD."
Serviço de Desligamento de Convidado do Hyper-V;vmicshutdown;Disabled;Win32ShareProcess;"Fornece um mecanismo de desligamento do sistema operacional desta máquina virtual por meio das interfaces de gerenciamento no computador físico."
Serviço de Dispositivos de Interface Humana;hidserv;Manual;Win32OwnProcess, Win32ShareProcess;"Ativa e mantém o uso de botões de atalho em teclados, controles remotos e outros dispositivos multimídia. Recomendamos manter este serviço em execução."
Serviço de Enumeração de Dispositivo de Cartão Inteligente;ScDeviceEnum;Disabled;Win32ShareProcess;"Cria nós de dispositivo de software para todos os leitores de cartão inteligente acessíveis em determinada sessão. Se esse serviço estiver desabilitado, as APIs do WinRT não poderão enumerar os leitores de cartão inteligente."
Serviço de Experiência em Idiomas;LxpSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece suporte de infraestrutura para implantar e configurar recursos localizados do Windows. Este serviço é iniciado por demanda e, se desabilitado, idiomas adicionais do Windows não serão implantados no sistema, e o Windows poderá não funcionar corretamente."
Serviço de Gateway Bluetooth de Áudio;BTAGService;Manual;Win32OwnProcess, Win32ShareProcess;"Serviço que oferece suporte à função de gateway de áudio do Perfil Mãos Livres Bluetooth."
Serviço de Geolocalização;lfsvc;Disabled;Win32ShareProcess;"Esse serviço monitora a localização atual do sistema e gerencia as cercas geográficas (uma localização geográfica com eventos associados).  Se esse serviço for desativado, os aplicativos não poderão usar ou receber notificações de geolocalização ou cercas geográficas."
Serviço de Gerenciador de Licença do Windows;LicenseManager;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece suporte de infraestrutura para a Microsoft Store. Este serviço é iniciado sob demanda e, se desabilitado, o conteúdo adquirido por meio da Microsoft Store não funcionará corretamente."
Serviço de Gerenciamento de Aplicativos Empresariais;EntAppSvc;Manual;Win32ShareProcess;"Permite o gerenciamento de aplicativos empresariais."
Serviço de Gerenciamento de Rádio;RmSvc;Disabled;Win32ShareProcess;"Serviço de Gerenciamento de Rádio e Modo Avião"
Serviço de gerenciamento do Windows;WManSvc;Manual;Win32ShareProcess;"Executa gerenciamento, incluindo atividades de provisionamento e registro"
Serviço de Histórico de Arquivos;fhsvc;Manual;Win32ShareProcess;"Protege arquivos de usuário contra perdas acidentais copiando-os para um local de backup"
Serviço de Host do Provedor de Criptografia do Windows;WEPHOSTSVC;Manual;Win32ShareProcess;"A criptografia dos agentes do Serviço de Host do Provedor de Criptografia do Windows relatou funcionalidades de Provedores de Criptografia de Terceiros em processos que precisam avaliar e aplicar políticas EAS. Se for interrompida, poderá comprometer as verificações de conformidade de EAS estabelecidas pelas Contas de Email conectadas"
Serviço de Host HV;HvHost;Disabled;Win32ShareProcess;"Oferece uma interface com o hipervisor Hyper-V para fornecer contadores de desempenho por partição para o sistema operacional do host."
Serviço de Hotspot Móvel do Windows;icssvc;Disabled;Win32ShareProcess;"Permite compartilhar uma conexão de dados da rede celular com outro dispositivo."
Serviço de Implantação AppX (AppXSVC);AppXSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece suporte de infraestrutura para a implantação de aplicativos da Store. Este serviço é iniciado sob demanda e, se desabilitado, os aplicativos da Store não serão implantados no sistema e poderão não funcionar corretamente."
Serviço de Infraestrutura de Tarefas de Segundo Plano;BrokerInfrastructure;Automatic;Win32ShareProcess;"Serviço de infraestrutura do Windows que controla quais tarefas de segundo plano podem ser executadas no sistema."
Serviço de Inspeção de Rede do Windows Defender Antivirus;WdNisSvc;Manual;Win32OwnProcess;"Ajuda a proteger contra tentativas de intrusão, abordando vulnerabilidades conhecidas e recentemente descobertas em protocolos de rede"
Serviço de Instalação da Microsoft Store;InstallService;Manual;Win32OwnProcess;"Fornece suporte de infraestrutura para a Microsoft Store. Este serviço é iniciado sob demanda e, se desabilitado, as instalações não funcionarão adequadamente."
Serviço de Instalação de Dispositivo;DeviceInstall;Manual;Win32OwnProcess, Win32ShareProcess;"Permite que um computador reconheça e se adapte a alterações de hardware com pouca ou nenhuma intervenção do usuário. Se este serviço for parado ou desativado, o sistema se tornará instável."
Serviço de Interface de Repositório de Rede;nsi;Automatic;Win32OwnProcess, Win32ShareProcess;"Esse serviço fornece notificações de rede (por exemplo, adição/exclusão de interface etc.) a clientes de modo de usuário. Se esse serviço for parado, causará perda de conectividade de rede. Se for desabilitado, os serviços que dependerem dele explicitamente não serão iniciados."
Serviço de Licenças de Cliente (ClipSVC);ClipSVC;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece suporte de infraestrutura para a Microsoft Store. Esse serviço é iniciado por demanda e, se desabilitado, os aplicativos comprados na Windows Store não terão um comportamento correto."
Serviço de Mecanismo de Backup em Nível de Bloco;wbengine;Manual;Win32OwnProcess;"O serviço WBENGINE é usado pelo Backup do Windows para executar o backup e as operações de recuperação. Se o serviço foi interrompido pelo usuário, isso poderá causar falha no backup ou na operação de recuperação em execução no momento. A desabilitação desse serviço pode desabilitar as operações de backup e recuperação que usam o backup do Windows nesta máquina."
Serviço de Monitoramento de Sensor;SensrSvc;Manual;Win32ShareProcess;"Monitora vários sensores para expor dados e adaptar-se ao estado do sistema e do usuário.  Se esse serviço for interrompido ou desabilitado, o brilho do monitor não irá se adaptar às condições de iluminação. A parada desse serviço também pode afetar outras funcionalidades e recursos do sistema."
Serviço de Notificação de Eventos do Sistema;SENS;Automatic;Win32OwnProcess, Win32ShareProcess;"Monitora os eventos do sistema e notifica os assinantes do Sistema de Eventos COM+ sobre esses eventos."
Serviço de Percepção do Windows;spectrum;Manual;Win32OwnProcess;"Habilita a percepção espacial, a entrada espacial e a renderização holográfica."
Serviço de Perfil de Usuário;ProfSvc;Automatic;Win32OwnProcess, Win32ShareProcess;"Este serviço é responsável por carregar e descarregar perfis de usuários. Sua interrupção ou desabilitação pode impedir que os usuários entrem ou saiam, prejudicar o acesso dos aplicativos aos dados dos usuários e dificultar o recebimento de notificações de eventos de perfis por componentes registrados."
Serviço de Plataforma de Dispositivos Conectados;CDPSvc;Disabled;Win32ShareProcess;"Este serviço é usado para cenários de Plataforma de Dispositivos Conectados"
Serviço de Política de Diagnóstico;DPS;Automatic;Win32OwnProcess, Win32ShareProcess;"O Serviço de Política de Diagnóstico permite detecção, solução e resolução de problemas em componentes do Windows. Se esse serviço for interrompido, os diagnósticos não serão mais realizados."
Serviço de Publicação de Nome de Computador do PNRP;PNRPAutoReg;Manual;Win32ShareProcess;"Este serviço publica um nome de computador usando o protocolo PNRP (Peer Name Resolution Protocol). A configuração é gerenciada através do contexto netsh 'p2p pnrp peer' "
Serviço de Pulsação do Hyper-V;vmicheartbeat;Disabled;Win32ShareProcess;"Monitora o estado desta máquina virtual reportando uma pulsação em intervalos regulares. Este serviço ajuda o usuário a identificar as máquinas virtuais em execução que pararam de responder."
Serviço de Rede Xbox Live;XboxNetApiSvc;Disabled;Win32ShareProcess;"Esse serviço oferece suporte a interface de programação de aplicativo Windows.Networking.XboxLive."
Serviço de Registro de Gerenciamento de Dispositivos;DmEnrollmentSvc;Manual;Win32OwnProcess;"Executa Atividades de Registro de Dispositivos para o Gerenciamento de Dispositivo"
Serviço de Relatórios de Erro do Windows;WerSvc;Disabled;Win32OwnProcess;"Permite que os erros sejam relatados quando os programas param de funcionar ou de responder e possibilita que soluções existentes sejam oferecidas. Também permite que logs sejam gerados para os serviços de diagnóstico e reparo. Se esse serviço for interrompido, o relatório de erros pode não funcionar corretamente e os resultados dos serviços de diagnósticos e reparos podem não ser exibidos."
Serviço de Repositório de Estado;StateRepository;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece o suporte necessário à infraestrutura para o modelo do aplicativo."
Serviço de Roteador AllJoyn;AJRouter;Disabled;Win32ShareProcess;"Roteia mensagens AllJoyn para os clientes AllJoyn locais. Se esse serviço for interrompido, os clientes AllJoyn que não têm seus próprios roteadores agrupados não poderão ser executados."
Serviço de Roteador SMS do Microsoft Windows;SmsRouter;Disabled;Win32ShareProcess;"Encaminha mensagens com base em regras aos clientes adequados."
Serviço de Roteamento de mensagens de envio por Push WAP do Gerenciamento de Dispositivos;dmwappushservice;Disabled;Win32ShareProcess;"Roteia as mensagens de envio por Push WAP recebidas pelo dispositivo e sincroniza as sessões de Gerenciamento de Dispositivos"
Serviço de Segurança do Windows;SecurityHealthService;Manual;Win32OwnProcess;"O Serviço de Segurança do Windows lida com a proteção do dispositivo e informações de integridade unificadas"
Serviço de Sensor;SensorService;Manual;Win32ShareProcess;"Um serviço para sensores que gerencia as diferentes funcionalidades dos sensores. Gerencia a SDO (Orientação de Dispositivo Simples) e o Histórico de sensores. Carrega o sensor de SDO que relata alterações de orientação de dispositivo. Se esse serviço for parado ou desabilitado, o sensor de SDO não será carregado e, portanto, a rotação automática não ocorrerá. A coleta de histórico dos Sensores também será interrompida."
Serviço de Simulação de Percepção do Windows;perceptionsimulation;Manual;Win32OwnProcess;"Habilita a simulação de percepção espacial, o gerenciamento de câmeras virtuais e a simulação de entrada espacial."
